"mode","run","time_ms"
"classical","1","283.11"
"classical","2","260.89"
"classical","3","152.06"
"classical","4","211.24"
"classical","5","235.14"
"classical","6","215.12"
"classical","7","184.49"
"classical","8","124.18"
"classical","9","162.89"
"classical","10","278.19"
"classical","11","217.36"
"classical","12","307"
"classical","13","419.12"
"classical","14","2007.23"
"classical","15","319.99"
"classical","16","257.06"
"classical","17","289.5"
"classical","18","163.91"
"classical","19","225.13"
"classical","20","214.34"
"pq","1","242.81"
"pq","2","149.45"
"pq","3","310.17"
"pq","4","277.79"
"pq","5","242.57"
"pq","6","1382.09"
"pq","7","195.88"
"pq","8","370.22"
"pq","9","267.03"
"pq","10","247.3"
"pq","11","212.16"
"pq","12","244.44"
"pq","13","241.55"
"pq","14","205.73"
"pq","15","293.71"
"pq","16","316.48"
"pq","17","233.88"
"pq","18","117.65"
"pq","19","128.65"
"pq","20","330.61"
"hybrid","1","299.21"
"hybrid","2","281.98"
"hybrid","3","204.93"
"hybrid","4","191.69"
"hybrid","5","415.42"
"hybrid","6","422.67"
"hybrid","7","313.16"
"hybrid","8","389.29"
"hybrid","9","258.49"
"hybrid","10","186.17"
"hybrid","11","324.64"
"hybrid","12","229.18"
"hybrid","13","178.43"
"hybrid","14","278.07"
"hybrid","15","160.41"
"hybrid","16","212.35"
"hybrid","17","231.58"
"hybrid","18","174.16"
"hybrid","19","189.35"
"hybrid","20","288.66"
